flight,airline,depart,arrive,capacity,takeoff,landing
23,Delta,ATL,DTW,160,926,1109
24,Delta,DTW,ATL,160,914,1123
27,Delta,DTW,BOS,160,945,1210
28,Delta,BOS,DTW,160,1009,1228
35,Delta,DTW,PIT,128,955,1106
36,Delta,PIT,DTW,128,1117,1219
37,Delta,ATL,BOS,160,1201,1444
38,Delta,BOS,ATL,160,816,1040
43,Delta,ATL,PIT,160,901,1001
44,Delta,PIT,ATL,160,1100,1203
45,Delta,BOS,PIT,160,744,855
46,Delta,PIT,BOS,160,955,1103
101,Southwest,DTW,BOS,136,1600,1810
102,Southwest,BOS,DTW,136,1605,1815
103,Southwest,DTW,PIT,136,1615,1730
104,Southwest,PIT,DTW,136,1620,1735
1231,American,DTW,BOS,160,1300,1520
1232,American,DTW,PIT,160,1305,1410
1257,American,DTW,ATL,128,1310,1455
1258,American,BOS,ATL,160,1315,1455
1277,American,BOS,DTW,160,1310,1530
1278,American,PIT,DTW,160,1400,1505
1291,American,ATL,DTW,128,1330,1530
1292,American,ATL,BOS,160,1340,1545
